4****苹果有30只，梨比苹果多20只，苹果和梨一共有（  ）****40只****50只****80只****70只****C
4****三个连续奇数的和是45，那么，紧接着它们后面的三个连续奇数的和是（  ）****63****51****61****60****A
4****妈妈给小刚买了3件奖品，其中最贵的一件是14元，最便宜的一件是9元，估一估，这3件奖品的总价钱大约在□之间。□内应填（  ）****30元-40元****20元～30元****40元～50元****10元～20元****A
4****31加上45再减去57，差是（  ）****29****19****45****62****B
4****先算减法的算式是（  ）****56+32-75****91-59+44****73+17+10****40+50-90****B
4****38先加上52，再减去53，得数（  ）****大于38****小于38****大于52****大于53****A
4****甲班有42 人，乙班有36 人，丙班比甲班和乙班的总人数少28 人，丙班有□人。□内应填（  ）****36****42****50****28****C
4****5个9相加，写成加法算式是（  ）****5+5+5+5+5****5+9****9+9+9+9+9****5+9+9+9+9****C
4****三个加数分别是15，25，39，它们的和是（  ）****69****79****89****59****B
4****小丽准备做90只纸鹤，第一天做了32只，第二天做了31只，没做的还有（  ）****30只****27只****50只****40只****B
4****体育室里有一些球。二（1）班借了18个。二（2）班借了22个，还剩39个，体育室原来有（  ）****60个球****70个球****79个球****69个球****C
4****36加上18，再减去12，得多少？算式是（  ）****36+18-12****36+18+12****36-18-12****36-18+12****A
4****一个工人计划三天做100个玩具小汽车，第一天做了34个，第二天做了37个，没有完成的个数是（  ）****35个****34个****33个****29个****D
4****37加上45再减去63，差是（  ）****29****19****45****62****B
4****下面算式中，结果比60大的是（  ）****6×7****9+9+9+9+9+9****80-35+26****36-18-12****C
4****结果比62大的式子是（  ）****7×8-23****6+6+6****98-42+17****12+13+14****C
4****64先加上36，再减去35，得数（  ）****大于64****小于64****等于64****以上都不对****A
4****苹果有32个，梨比苹果少8个，苹果和梨一共有（  ）****24个****56个****40个****64个****B
4****三个加数都是14，和是（  ）****32****42****52****64****B
4****53先加26再减去13，得多少？列式为（  ）****53+26-13****53-26+13****53-26-13****53+26+13****A
4****一本50页纸的本子，上星期用去21张，这个星期用去几张，还剩6张？（  ）****18****23****29****28****B
4****35-30+5结果是（  ）****0****35****10****20****A
4****同学们排队做操，小明前面有11个同学，后面有13个同学，这一排一共有（  ）****23个同学****24个同学****25个同学****26个同学****C
4****46减去20，再加上16，得多少？算式是（  ）****46+20+16****46-20+16****46-20-16****46+20-16****B
